title,release_year,genres,score,budget,revenue,duplicated_status
The Jungle Book,2016,"Family, Adventure, Drama, Fantasy",69.0,175000000.0,953535821.0,True
The Jungle Book,1994,"Family, Adventure, Drama",60.0,175000000.0,953535821.0,True
The Italian Job,2003,"Action, Crime",68.0,60000000.0,176262839.0,True
The Italian Job,1969,"Action, Crime, Comedy, Thriller",70.0,60000000.0,176262839.0,True
The Invitation,2022,"Horror, Thriller",64.0,1000000.0,354836.0,True
The Invitation,2015,"Thriller, Horror",65.0,1000000.0,354836.0,True
The Hunchback of Notre Dame,1996,"Drama, Animation, Family",71.0,100000000.0,325500000.0,True
The Hunchback of Notre Dame,1939,"Drama, Romance, Horror",73.0,100000000.0,325500000.0,True
The Hills Have Eyes,2006,"Horror, Thriller",64.0,17000000.0,70355813.0,True
The Hills Have Eyes,1977,"Horror, Thriller",62.0,17000000.0,70355813.0,True
The Grudge,2020,"Horror, Mystery",55.0,10000000.0,187281115.0,True
The Grudge,2004,"Horror, Mystery, Thriller",59.0,10000000.0,187281115.0,True
The Great Gatsby,2013,"Drama, Romance",74.0,190000000.0,353640419.0,True
The Great Gatsby,1974,"Drama, Romance",63.0,190000000.0,353640419.0,True
The Girl Next Door,2004,"Comedy, Romance",67.0,25000000.0,31635150.0,True
The Girl Next Door,2007,"Thriller, Crime, Drama, Horror",67.0,25000000.0,31635150.0,True
The Gift,2001,"Horror, Drama, Thriller, Mystery",64.0,5000000.0,58978477.0,True
The Gift,2015,"Thriller, Mystery, Drama",67.0,5000000.0,58978477.0,True
The Fog,2005,"Horror, Thriller",45.0,18000000.0,37048526.0,True
The Fog,1980,Horror,67.0,18000000.0,37048526.0,True
The Day the Earth Stood Still,2008,"Drama, Science Fiction, Thriller",56.0,80000000.0,237370350.0,True
The Day the Earth Stood Still,1951,"Drama, Science Fiction",75.0,80000000.0,237370350.0,True
The Beguiled,2017,Drama,59.0,10000000.0,28039038.0,True
The Beguiled,1971,"Drama, Thriller, War",70.0,10000000.0,28039038.0,True
The Avengers,2012,"Science Fiction, Action, Adventure",77.0,225000000.0,1515100211.0,True
The Avengers,1998,"Thriller, Science Fiction, Action, Adventure",44.0,225000000.0,1515100211.0,True
The Amityville Horror,2005,Horror,61.0,18500000.0,109175673.0,True
The Amityville Horror,1979,Horror,63.0,18500000.0,109175673.0,True
The Addams Family,2019,"Family, Animation, Comedy, Fantasy, Horror",66.0,24000000.0,200588546.0,True
The Addams Family,1991,"Comedy, Fantasy",70.0,24000000.0,200588546.0,True
Terrifier,2016,"Horror, Thriller",66.0,35000.0,0.0,True
Terrifier,2011,Horror,64.0,35000.0,0.0,True
Teenage Mutant Ninja Turtles,2014,"Science Fiction, Action, Adventure, Comedy",59.0,125000000.0,485004754.0,True
Teenage Mutant Ninja Turtles,1990,"Science Fiction, Action, Adventure, Comedy, Family",66.0,125000000.0,485004754.0,True
Tarzan,1999,"Family, Adventure, Animation, Drama",74.0,145000000.0,448191819.0,True
Tarzan,2014,"Animation, Action, Adventure, Family",57.0,145000000.0,448191819.0,True
Spider-Man,2002,"Fantasy, Action",73.0,139000000.0,821706375.0,True
Spider-Man,1977,"Science Fiction, Action, Crime, TV Movie",59.0,139000000.0,821706375.0,True
Spartacus,1960,"History, War, Drama, Adventure",76.0,12000000.0,60000000.0,True
Spartacus,2004,"Action, Drama",69.0,12000000.0,60000000.0,True
Smile,2022,"Horror, Mystery, Thriller",68.0,17000000.0,216049734.0,True
Smile,1975,Comedy,63.0,17000000.0,216049734.0,True
Shut In,2022,"Thriller, Horror, Drama",70.0,10000000.0,11360665.0,True
Shut In,2016,"Drama, Thriller",53.0,10000000.0,11360665.0,True
Shaft,2020,"Action, Crime",66.0,53012938.0,107190108.0,True
Shaft,2000,"Action, Adventure, Crime, Thriller",60.0,53012938.0,107190108.0,True
Shaft,1971,"Action, Crime, Thriller",65.0,53012938.0,107190108.0,True
Serenity,2005,"Science Fiction, Action, Adventure, Thriller",74.0,39000000.0,40319440.0,True
Serenity,2019,"Thriller, Mystery, Drama",54.0,39000000.0,40319440.0,True
Scream,2022,"Horror, Mystery, Thriller",67.0,15000000.0,173046640.0,True
Scream,1997,"Crime, Horror, Mystery",74.0,15000000.0,173046640.0,True
Scream,1981,"Horror, Mystery",41.0,15000000.0,173046640.0,True
Scarface,1984,"Action, Crime, Drama",82.0,25000000.0,44942821.0,True
Scarface,1932,"Action, Crime, Drama, Thriller",75.0,25000000.0,44942821.0,True
Saw,2004,"Horror, Mystery, Crime",74.0,1200000.0,103880027.0,True
Saw,2003,"Crime, Horror, Thriller",70.0,1200000.0,103880027.0,True
RoboCop,1987,"Action, Thriller, Science Fiction",73.0,120000000.0,242981799.0,True
RoboCop,2014,"Science Fiction, Action",58.0,120000000.0,242981799.0,True
Robin Hood,2010,"Action, Adventure, Drama",64.0,210000000.0,322459006.0,True
Robin Hood,2013,"Animation, Family",73.0,210000000.0,322459006.0,True
Robin Hood,2019,"Adventure, Action, Thriller",59.0,210000000.0,322459006.0,True
Reminiscence,2023,"Drama, Romance",0.0,67972729.0,15449322.0,True
Reminiscence,2021,"Mystery, Science Fiction",67.0,67972729.0,15449322.0,True
Red Dawn,2012,"Action, Thriller",57.0,65000000.0,48164150.0,True
Red Dawn,1984,"Action, Thriller, War, Drama",63.0,65000000.0,48164150.0,True
Rampage,2018,"Action, Adventure, Science Fiction",64.0,120000000.0,427947217.0,True
Rampage,2010,"Action, Crime, Thriller",60.0,120000000.0,427947217.0,True
Psycho,1960,"Horror, Drama, Thriller",84.0,20000000.0,37226218.0,True
Psycho,1998,"Mystery, Thriller, Horror",51.0,20000000.0,37226218.0,True
Prey,2022,"Thriller, Action, Science Fiction",78.0,65000000.0,0.0,True
Prey,2009,"Adventure, Horror, Thriller",57.0,65000000.0,0.0,True
Power Rangers,2017,"Action, Adventure, Science Fiction",63.0,120000000.0,142531552.0,True
Power Rangers,2015,"Action, Science Fiction",71.0,120000000.0,142531552.0,True
Poltergeist,2015,Horror,52.0,10700000.0,121706019.0,True
Poltergeist,1982,Horror,71.0,10700000.0,121706019.0,True
Point Break,1992,"Action, Thriller, Crime",71.0,100000000.0,126704591.0,True
Point Break,2016,"Action, Adventure, Crime, Thriller",59.0,100000000.0,126704591.0,True
Planet of the Apes,2001,"Thriller, Science Fiction, Action, Adventure",57.0,100000000.0,362211740.0,True
Planet of the Apes,1968,"Science Fiction, Adventure, Drama, Action",76.0,100000000.0,362211740.0,True
Pinocchio,2022,"Fantasy, Adventure, Family",65.0,2289247.0,84300000.0,True
Pinocchio,1940,"Animation, Family",71.0,2289247.0,84300000.0,True
Peter Pan,1953,"Animation, Family, Adventure, Fantasy",72.0,100000000.0,95255485.0,True
Peter Pan,2003,"Adventure, Fantasy, Family",72.0,100000000.0,95255485.0,True
Pet Sematary,1989,"Horror, Drama",66.0,21000000.0,111809732.0,True
Pet Sematary,2019,"Horror, Thriller",57.0,21000000.0,111809732.0,True
Payback,1999,"Crime, Action, Drama",68.0,50000000.0,161626121.0,True
Payback,2021,"Crime, Drama, Thriller",60.0,50000000.0,161626121.0,True
Passengers,2016,"Drama, Romance, Science Fiction",69.0,110000000.0,302239672.0,True
Passengers,2009,"Drama, Mystery, Thriller, Romance",61.0,110000000.0,302239672.0,True
Papillon,2018,Drama,73.0,13500000.0,53292989.0,True
Papillon,1974,"Crime, Drama",79.0,13500000.0,53292989.0,True
Overboard,2018,"Romance, Comedy",67.0,12000000.0,91244913.0,True
Overboard,1988,"Comedy, Romance",68.0,12000000.0,91244913.0,True
Ocean's Eleven,2002,"Thriller, Crime",74.0,85000000.0,450728529.0,True
Ocean's Eleven,1960,"Crime, Comedy, Music",64.0,85000000.0,450728529.0,True
No Escape,2015,Thriller,69.0,5000000.0,42844516.0,True
No Escape,1994,"Action, Drama, Science Fiction, Thriller",63.0,5000000.0,42844516.0,True
Night of the Living Dead,1990,"Horror, Thriller",68.0,114000.0,30087064.0,True
Night of the Living Dead,1968,"Horror, Thriller",76.0,114000.0,30087064.0,True
Murder on the Orient Express,2017,"Drama, Mystery, Crime",67.0,55000000.0,351767147.0,True
Murder on the Orient Express,1974,"Drama, Thriller, Mystery",72.0,55000000.0,351767147.0,True
Mulan,1998,"Animation, Family, Adventure",79.0,90000000.0,303500000.0,True
Mulan,2020,"Adventure, Fantasy, Drama, Action",69.0,90000000.0,303500000.0,True
