title,release_year,genres,score,budget,revenue
Bedknobs and Broomsticks,1971,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Music']",68,20000000,17900000
Diamonds Are Forever,1971,"['Adventure', 'Action', 'Thriller']",63,7200000,116019547
Dirty Harry,1971,"['Action', 'Crime', 'Thriller']",74,4000000,35976000
Escape from the Planet of the Apes,1971,"['Action', 'Science Fiction']",63,2500000,12348905
Fiddler on the Roof,1971,"['Drama', 'Romance']",74,9000000,83304330
Play Misty for Me,1971,"['Crime', 'Drama', 'Romance', 'Thriller']",65,725000,10600000
Shaft,1971,"['Adventure', 'Action', 'Thriller', 'Crime']",65,4000000,12121618
Straw Dogs,1971,"['Crime', 'Drama', 'Thriller', 'Mystery']",72,2200000,3251794
Sweet Sweetback's Baadasssss Song,1971,"['Action', 'Drama', 'Romance']",47,150000,15200000
THX 1138,1971,"['Drama', 'Mystery', 'Science Fiction']",64,777000,2437000
The Andromeda Strain,1971,"['Science Fiction', 'Thriller']",70,6500000,12376563
The French Connection,1971,"['Action', 'Crime', 'Thriller']",74,1800000,41158757
The Last Picture Show,1971,['Drama'],76,1300000,29133000
Vanishing Point,1971,"['Action', 'Thriller', 'Drama']",71,1300000,72266306
Willy Wonka & the Chocolate Factory,1971,"['Family', 'Fantasy']",74,3000000,4000000
Conquest of the Planet of the Apes,1972,"['Action', 'Science Fiction']",61,1700000,9700000
Deliverance,1972,"['Drama', 'Adventure', 'Thriller']",72,2000000,46122355
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,['Comedy'],66,2000000,18016290
Frenzy,1972,"['Crime', 'Drama', 'Mystery', 'Thriller']",72,3500000,12600000
Last Tango in Paris,1972,"['Drama', 'Romance']",71,1250000,36144000
Pink Flamingos,1972,"['Horror', 'Comedy', 'Crime']",62,12000,6000000
The Cowboys,1972,"['Action', 'Adventure', 'Drama', 'Western']",70,6000000,7500000
The Getaway,1972,"['Action', 'Crime', 'Thriller']",70,3352254,58831997
The Godfather,1972,"['Drama', 'Crime']",85,6000000,245066411
The Legend of Boggy Creek,1972,"['Mystery', 'Horror', 'Drama']",56,100000,22000000
The Poseidon Adventure,1972,"['Action', 'Adventure']",73,5000000,84563118
The Way of the Dragon,1972,"['Action', 'Crime']",74,130000,85000000
American Graffiti,1973,"['Comedy', 'Drama']",69,777000,140000000
Battle for the Planet of the Apes,1973,"['Action', 'Science Fiction']",55,1700000,8844595
Dillinger,1973,"['Action', 'Crime', 'Drama']",67,1000000,2000000
Enter the Dragon,1973,"['Action', 'Crime', 'Thriller']",73,850000,90000000
Heavy Traffic,1973,"['Animation', 'Comedy', 'Drama']",66,950000,1500000
High Plains Drifter,1973,['Western'],74,5500000,15700000
Live and Let Die,1973,"['Adventure', 'Action', 'Thriller']",64,7000000,161777836
Mean Streets,1973,"['Drama', 'Crime']",72,500000,3000000
Papillon,1973,"['Crime', 'Drama']",78,12000000,53267000
Pat Garrett & Billy the Kid,1973,['Western'],72,4638783,11000000
Robin Hood,1973,"['Animation', 'Family']",70,15000000,32056467
Serpico,1973,"['Crime', 'Drama', 'History']",75,3000000,29800000
Sleeper,1973,"['Comedy', 'Romance', 'Science Fiction']",70,2000000,18344729
The Exorcist,1973,"['Drama', 'Horror', 'Thriller']",75,8000000,441306145
The Sting,1973,"['Comedy', 'Crime', 'Drama']",79,5500000,159616327
Airport 1975,1974,"['Action', 'Adventure', 'Drama', 'Thriller']",55,3000000,47000000
Blazing Saddles,1974,"['Western', 'Comedy']",72,2600000,119500000
Chinatown,1974,"['Crime', 'Drama', 'Mystery', 'Thriller']",79,6000000,30000000
Death Wish,1974,"['Action', 'Crime', 'Drama', 'Thriller']",70,3000000,22000000
Earthquake,1974,"['Action', 'Drama', 'Thriller']",56,7000000,79666653
The Conversation,1974,"['Crime', 'Drama', 'Mystery']",75,1600000,4420000
The Godfather: Part II,1974,"['Drama', 'Crime']",83,13000000,47542841
The Great Gatsby,1974,"['Drama', 'Romance']",62,6500000,26533200
The Longest Yard,1974,"['Crime', 'Comedy', 'Drama']",64,2900000,43008075
The Lords of Flatbush,1974,['Drama'],57,160000,4000000
The Man with the Golden Gun,1974,"['Adventure', 'Action', 'Thriller']",64,7000000,97572000
The Sugarland Express,1974,"['Crime', 'Drama']",64,3000000,12800000
The Texas Chain Saw Massacre,1974,['Horror'],71,85000,30859000
The Towering Inferno,1974,"['Action', 'Thriller']",71,14000000,116000000
Young Frankenstein,1974,"['Comedy', 'Science Fiction']",77,2800000,86273333
Barry Lyndon,1975,"['Drama', 'Romance', 'War']",77,11000000,20000000
Breakout,1975,"['Action', 'Adventure', 'Thriller']",64,1000000,16000000
Capone,1975,"['Crime', 'Drama']",60,970000,2000000
