item,title,genreLabel,boxofficeww,boxofficeusa,publicationdate,reviewscore,budget
http://www.wikidata.org/entity/Q17548046,Mission: Impossible – Rogue Nation,action film,682716636,195042377,2015-07-31T00:00:00Z,7.5/10,150000000 USD
http://www.wikidata.org/entity/Q207536,The Matrix Revolutions,action film,,,2003-11-05T00:00:00Z,34%,150000000 USD
http://www.wikidata.org/entity/Q909767,Nacho Libre,comedy film,99255460,80197993,2006-06-16T00:00:00Z,40%,35000000 USD
http://www.wikidata.org/entity/Q50861,Die Hard 4.0,buddy cop film,388156011,,2007-06-27T00:00:00Z,82%,110000000 USD
http://www.wikidata.org/entity/Q1753894,Shalako,drama film,,2620000,1968-12-13T00:00:00Z,40%,5000000 USD
http://www.wikidata.org/entity/Q1782738,Tucker & Dale vs Evil,comedy film,,,,6.9/10,5000000 USD
http://www.wikidata.org/entity/Q783461,White Dog,horror film,,46509,1982-11-12T00:00:00Z,7.6/10,7000000 USD
http://www.wikidata.org/entity/Q139460,Ghost World,coming-of-age fiction,,,,7.8/10,7000000 USD
http://www.wikidata.org/entity/Q139460,Ghost World,coming-of-age fiction,,,,93%,7000000 USD
http://www.wikidata.org/entity/Q211009,Van Helsing,horror film,300157638,,2004-05-07T00:00:00Z,4.3/10,160000000 USD
http://www.wikidata.org/entity/Q2700629,Epic,children's film,268400000,,,65%,100000000 USD
http://www.wikidata.org/entity/Q221345,Batman Forever,neo-noir,336567158,,1995-06-16T00:00:00Z,39%,100000000 USD
http://www.wikidata.org/entity/Q430535,Michael Collins,war film,27572844,11092559,1996-10-25T00:00:00Z,6.9/10,25000000 USD
http://www.wikidata.org/entity/Q329131,Jerry Maguire,American football film,273600000,,,84%,50000000 USD
http://www.wikidata.org/entity/Q309289,The Man with the Golden Gun,thriller film,97600000,20972000,1974-12-20T00:00:00Z,5.3/10,7000000 USD
http://www.wikidata.org/entity/Q304789,A Woman's Face,film noir,1907000,1077000,1941-05-09T00:00:00Z,7/10,1343000 USD
http://www.wikidata.org/entity/Q109116,The Great Dictator,comedy of error,,,1940-10-15T00:00:00Z,8.9/10,2000000 USD
http://www.wikidata.org/entity/Q14578326,Wish I Was Here,drama fiction,,,,47%,6000000 USD
http://www.wikidata.org/entity/Q50143448,唐人街探案 2,action film,544061916,1983984,2018-02-16T00:00:00Z,5.1/10,
http://www.wikidata.org/entity/Q502908,Lost in Space,thriller film,,,1998-04-03T00:00:00Z,4.9/10,80000000 USD
http://www.wikidata.org/entity/Q104123,Pulp Fiction,gangster film,213928762,107928762,1994-10-14T00:00:00Z,9.2/10,8000000 USD
http://www.wikidata.org/entity/Q23780914,Avengers: Infinity War,science fiction film,2048359754,678815482,2018-04-27T00:00:00Z,7.6/10,400000000 USD
http://www.wikidata.org/entity/Q23780914,Avengers: Infinity War,science fiction film,2048359754,678815482,2018-04-27T00:00:00Z,85%,400000000 USD
http://www.wikidata.org/entity/Q104834805,Quam's Money,comedy film,,,,,
http://www.wikidata.org/entity/Q1132535,Little Big Man,comedy film,,,,7.9/10,15000000 USD
http://www.wikidata.org/entity/Q27958298,Darkest Hour,biographical film,150847274,56468410,2017-11-22T00:00:00Z,84%,30000000 USD
http://www.wikidata.org/entity/Q193835,Good Will Hunting,coming-of-age fiction,225900000,,,96%,10000000 USD
http://www.wikidata.org/entity/Q642016,The Texas Chainsaw Massacre: The Beginning,slasher film,,,2006-10-06T00:00:00Z,14%,13000000 USD
http://www.wikidata.org/entity/Q18407,La dolce vita,drama film,,19500000,1961-07-19T00:00:00Z,9.1/10,
http://www.wikidata.org/entity/Q1334550,Kate & Leopold,comedy film,,,,51%,48000000 ARS
http://www.wikidata.org/entity/Q332515,The Others,mystery film,,,,83%,17000000 USD
http://www.wikidata.org/entity/Q858860,Red Sonja,film based on literature,,6948633,1985-07-03T00:00:00Z,3.9/10,17900000 USD
http://www.wikidata.org/entity/Q19590955,Rogue One: A Star Wars Story,war film,1056057273,532177324,2016-12-16T00:00:00Z,7.5/10,200000000 USD
http://www.wikidata.org/entity/Q471169,When Harry Met Sally,romantic comedy,93273565,93117425,1989-07-21T00:00:00Z,91%,16000000 USD
http://www.wikidata.org/entity/Q329127,American Pie 2,teen film,,,2001-08-10T00:00:00Z,5.4/10,30000000 USD
http://www.wikidata.org/entity/Q628139,Salt,spy film,,,,6/10,110000000 USD
http://www.wikidata.org/entity/Q47486507,Mandy,thriller film,,,2018-09-14T00:00:00Z,90%,6000000 USD
http://www.wikidata.org/entity/Q488222,괴물,drama film,89433436,2201923,2007-03-30T00:00:00Z,93%,11800000000 KRW
http://www.wikidata.org/entity/Q1160813,Runaway Bride,drama film,309457509,,,46%,
http://www.wikidata.org/entity/Q64338076,The King of Staten Island,drama film,,,2020-06-12T00:00:00Z,6.9/10,35000000 USD
http://www.wikidata.org/entity/Q263460,The Dead Pool,action film,,,,55%,31000000 USD
http://www.wikidata.org/entity/Q20649346,Gold,drama film,,,2016-12-30T00:00:00Z,42%,20000000 USD
http://www.wikidata.org/entity/Q304789,A Woman's Face,crime film,1907000,1077000,1941-05-09T00:00:00Z,100%,1343000 USD
http://www.wikidata.org/entity/Q4407383,Monuments Men,biographical film,,,2014-02-07T00:00:00Z,5.2/10,70000000 USD
http://www.wikidata.org/entity/Q243439,Full Metal Jacket,war film,,,1987-06-26T00:00:00Z,8.3/10,30000000 USD
http://www.wikidata.org/entity/Q243439,Full Metal Jacket,war film,,,1987-06-26T00:00:00Z,90%,30000000 USD
http://www.wikidata.org/entity/Q190086,Some Like It Hot,screwball comedy film,,,,9.1/10,2883848 USD
http://www.wikidata.org/entity/Q261209,Bullitt,crime thriller,,42300873,1968-10-17T00:00:00Z,7.8/10,4000000 USD
http://www.wikidata.org/entity/Q28173075,Red Sparrow,film based on a novel,151572634,46874505,2018-03-02T00:00:00Z,5.5/10,69000000 USD
http://www.wikidata.org/entity/Q1340087,Skyline,war film,,,,15%,10000000 USD
http://www.wikidata.org/entity/Q1129381,The X-Files,science fiction film,189176423,83898313,1998-06-19T00:00:00Z,6.2/10,66000000 USD
http://www.wikidata.org/entity/Q3180788,Hell and High Water,drama film,2700000,,1954-02-06T00:00:00Z,,1870000 USD
http://www.wikidata.org/entity/Q909749,The Thing,slasher film,,,,5/10,38000000 USD
http://www.wikidata.org/entity/Q154935,(500) Days of Summer,coming-of-age fiction,,,,7.6/10,7500000 USD
http://www.wikidata.org/entity/Q154935,(500) Days of Summer,coming-of-age fiction,,,,85%,7500000 USD
