title,release_year,genres,score,budget,revenue
Where the Heart Is,2000.0,"Comedy, Drama, Romance",69.0,15000000.0,33771174.0
Where the Crawdads Sing,2022.0,"Mystery, Drama, Thriller",76.0,24000000.0,136539552.0
Where Hands Touch,2019.0,"War, Drama, Romance",80.0,5043197.0,128269.0
Where Eagles Dare,1968.0,"Adventure, Drama, Action, History, War",74.0,7700000.0,21000000.0
When the Lights Went Out,2012.0,"Thriller, Drama, Horror",57.0,4581468.0,1181929.0
When the Game Stands Tall,2014.0,Drama,63.0,15000000.0,30127963.0
When the Bough Breaks,2016.0,"Mystery, Drama, Horror",53.0,10000000.0,30658387.0
When a Stranger Calls,2006.0,"Horror, Thriller",54.0,15000000.0,66966987.0
When Time Ran Out...,1980.0,"Action, Adventure, Drama, Thriller",70.0,20000000.0,3763988.0
When Harry Met Sally...,1989.0,"Comedy, Romance, Drama",73.0,16000000.0,92823546.0
When Harry Met Sally,1989.0,"romantic comedy, Christmas film, comedy film",91.0,16000000.0,93273565.0
When Dinosaurs Ruled the Earth,1971.0,"Adventure, Fantasy, Science Fiction",62.0,136200000.0,363305380.2
Whatever Works,2009.0,"Comedy, Romance",68.0,15000000.0,35097815.0
Whatever It Takes,2000.0,"Drama, Comedy, Romance",51.0,15000000.0,9902115.0
What's Your Number?,2011.0,"Comedy, Romance",62.0,20000000.0,30426096.0
What's Love Got to Do with It?,2023.0,"Romance, Comedy",62.0,178400000.0,324436308.4
What's Eating Gilbert Grape,1993.0,"Romance, Drama",75.0,11000000.0,10032765.0
What to Expect When You're Expecting,2012.0,"Romance, Comedy, Drama",58.0,40000000.0,79700000.0
What a Girl Wants,2003.0,"Comedy, Romance, Drama, Family",62.0,25000000.0,37216643.0
What Women Want,2001.0,"Comedy, Romance",64.0,65000000.0,374105123.0
What Women Want,2000.0,"Comedy, Romance",61.0,70000000.0,374111707.0
What We Leave Behind,2022.0,Documentary,63.0,90000000.0,433079565.6
What We Do in the Shadows,2014.0,"Comedy, Horror",76.0,1600000.0,6263224.0
What Men Want,2019.0,"Comedy, Romance",62.0,20000000.0,69911903.0
What Men Talk About,2010.0,Comedy,76.0,1950000.0,12005838.0
What Lies Beneath,2000.0,"Drama, Horror, Mystery, Thriller",63.0,100000000.0,155464351.0
What Lies Below,2020.0,"Horror, Mystery, Thriller, Science Fiction",53.0,122800000.0,611381558.2
What Just Happened,2008.0,"Comedy, Drama",52.0,27000000.0,6673422.0
What If,2013.0,"Drama, Comedy, Romance",67.0,11000000.0,7847000.0
What Happens in Vegas,2008.0,"Comedy, Romance",58.0,35000000.0,170000000.0
What Happened to Monday,2017.0,"Science Fiction, Thriller, Drama, Mystery, Action",72.0,20000000.0,27975429.0
What Ever Happened to Baby Jane?,1962.0,"Drama, Horror, Thriller",79.0,980000.0,2935750.2
What Dreams May Come,1998.0,"Drama, Fantasy, Romance",68.0,85000000.0,71485043.0
What About Bob?,1991.0,Comedy,67.0,35000000.0,63710000.0
Whale Rider,2003.0,"Drama, Family",71.0,8000000.0,41400000.0
Wet Hot American Summer,2001.0,Comedy,65.0,5000000.0,1000000.0
Westworld,1973.0,"Adventure, Science Fiction, Western",68.0,104800000.0,316773344.4
West of Zanzibar,1928.0,"Drama, Mystery",72.0,259000.0,921000.0
West Side Story,1961.0,"Crime, Drama, Music",70.0,6000000.0,43656822.0
West Is West,2010.0,Comedy,63.0,3837625.0,3867000.0
Werewolves Within,2021.0,"Horror, Comedy",61.0,6500000.0,937490.0
Werewolf: The Beast Among Us,2012.0,"Drama, Horror, Thriller",60.0,5000000.0,63615565.6
Werewolf by Night,2022.0,"Action, Fantasy, Horror, TV Movie",71.0,104000000.0,528355678.6
Wer,2014.0,"Horror, Mystery, Thriller",63.0,97760000.0,384573450.8
Wendy Wu: Homecoming Warrior,2006.0,"Family, Action, Adventure, TV Movie",62.0,6000000.0,106360586.2
Wendell & Wild,2022.0,"Animation, Comedy, Fantasy, Adventure",68.0,59960000.0,418659258.4
